epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,124.697,1.02664,1.27623,0.01493,0.93066,0.45676,0.70356,0.47406,1.76045,1.65706,0.01529,1.43596e-05,1.43596e-05,1.43596e-05
89,126.094,1.15018,1.65352,0.0162,0.93066,0.45676,0.70356,0.47406,1.76045,1.65706,0.01529,1.34879e-05,1.34879e-05,1.34879e-05
90,127.511,0.88528,1.04199,0.00944,0.93066,0.45676,0.70356,0.47406,1.76045,1.65706,0.01529,1.25927e-05,1.25927e-05,1.25927e-05
91,128.9,0.62728,0.48839,0.00867,0.93066,0.45676,0.70356,0.47406,1.76045,1.65706,0.01529,1.16739e-05,1.16739e-05,1.16739e-05
92,130.36,0.54135,0.51715,0.00559,0.58423,0.49893,0.66274,0.47615,1.81394,1.56413,0.0151,1.07315e-05,1.07315e-05,1.07315e-05
93,131.799,0.99906,1.18199,0.01706,0.58423,0.49893,0.66274,0.47615,1.81394,1.56413,0.0151,9.76562e-06,9.76562e-06,9.76562e-06
94,133.22,0.59703,0.48046,0.00616,0.58423,0.49893,0.66274,0.47615,1.81394,1.56413,0.0151,8.77613e-06,8.77613e-06,8.77613e-06
95,134.593,1.18501,0.83923,0.02026,0.58423,0.49893,0.66274,0.47615,1.81394,1.56413,0.0151,7.76308e-06,7.76308e-06,7.76308e-06
96,136.013,0.82625,0.55662,0.01252,0.78621,0.37648,0.64732,0.4755,1.7991,1.65765,0.01488,6.72648e-06,6.72648e-06,6.72648e-06
97,137.406,0.62936,0.42338,0.00691,0.78621,0.37648,0.64732,0.4755,1.7991,1.65765,0.01488,5.6663e-06,5.6663e-06,5.6663e-06
98,138.795,0.80763,0.58863,0.01472,0.78621,0.37648,0.64732,0.4755,1.7991,1.65765,0.01488,4.58257e-06,4.58257e-06,4.58257e-06
99,140.201,0.834,0.7087,0.00942,0.78621,0.37648,0.64732,0.4755,1.7991,1.65765,0.01488,3.47528e-06,3.47528e-06,3.47528e-06
100,141.64,0.68999,0.70838,0.00687,0.7139,0.40206,0.63637,0.45267,1.78264,1.59032,0.01444,2.34442e-06,2.34442e-06,2.34442e-06
